customer_id,full_name,gender,age,segment,region,join_date
105,Amanda Hall,F,30,Retail,DN,2022-07-10
106,Eric Martinez,M,53,SME,HN,2024-12-26
107,Cynthia Alexander,F,63,SME,Other,2021-09-18
108,Carl Harris,M,40,Retail,HCM,2023-12-18
109,Joyce Griffith,F,49,Retail,HCM,2021-08-25
110,Michael Jennings,M,42,Retail,HCM,2023-02-02
111,Gilbert Dunn,M,39,Retail,HCM,2021-07-14
112,John Carter,M,69,Retail,DN,2024-05-06
113,Julie Pennington,F,60,Retail,HN,2023-04-11
114,Natalie Nguyen,F,61,VIP,DN,2020-11-01
115,Sarah Thompson,F,23,Retail,Other,2024-11-14
116,Allison Mcgee,F,64,Retail,Other,2022-10-11
117,Ann Anderson,F,33,VIP,Other,2021-06-16
118,Christina Jones,F,47,Retail,Other,2023-10-19
119,Christopher Holloway,M,36,Retail,DN,2023-07-03
120,Amy Terry,F,54,Retail,HCM,2023-06-01
121,James Hunt,M,26,Retail,HN,2023-01-22
122,Savannah Meyer,F,18,Retail,Other,2024-06-12
123,Adrienne Carlson,F,65,Retail,HN,2021-07-20
124,Tim Reed Jr.,M,18,VIP,DN,2021-09-10
125,Deanna Watts,F,22,Retail,DN,2025-04-03
126,Dr. Michael West,M,29,Retail,DN,2021-03-05
127,Kyle Thompson,M,39,Retail,HCM,2020-10-07
128,Krystal Ellis,F,22,Retail,HCM,2021-03-17
129,Donna Powell,F,69,Retail,Other,2025-07-06
130,Susan Mcguire,F,43,Retail,DN,2024-05-09
131,Tracy Dixon,F,50,Retail,HN,2023-03-08
132,Matthew Shelton,M,27,SME,Other,2021-09-07
133,Cassandra Norman,F,69,Retail,HCM,2024-05-31
134,David Johnson,M,49,SME,HN,2023-08-09
135,Corey Wheeler,M,21,Retail,Other,2024-04-07
136,Marvin Owens,M,19,Retail,Other,2021-03-15
137,Chelsea Guerra,F,44,SME,Other,2022-01-18
138,Angela Jackson,F,52,Retail,HN,2023-04-12
139,William Sanders,M,68,SME,Other,2024-05-09
140,Daniel Merritt,M,18,VIP,HCM,2020-11-05
141,Jacob Gray,M,61,Retail,Other,2025-03-20
142,Charles Miller,M,63,Retail,DN,2024-12-26
143,Melissa Craig,F,52,Retail,HCM,2025-01-13
144,Susan Spears,F,46,SME,HCM,2022-12-30
145,Jamie Nelson,F,51,Retail,DN,2023-02-20
146,Ashley Carpenter,F,67,Retail,HN,2025-03-06
147,Crystal Bates,F,53,Retail,HN,2021-06-07
148,Aaron Howard DDS,M,53,Retail,HN,2023-10-11
149,Jill Fox,F,52,VIP,Other,2024-08-10
150,Cheyenne Clayton,F,35,Retail,Other,2024-11-08
151,Caitlin Jones,F,40,SME,HN,2022-02-17
152,Rebecca Lowery,F,66,Retail,DN,2024-08-29
153,Jeffrey Hudson,M,52,Retail,HN,2024-02-05
154,Brent Mckee,M,37,SME,HCM,2023-11-24
155,Paul Castillo,M,36,Retail,Other,2024-01-01
156,Jason Brown,M,58,SME,HN,2022-05-27
157,Robert Chen MD,M,45,VIP,Other,2025-02-05
158,Shawna Weaver MD,F,36,Retail,Other,2023-03-14
159,Alexis Wilson,M,22,Retail,HN,2021-01-03
160,Ashley Hernandez,F,38,SME,DN,2022-01-25
161,Jessica Murray,F,56,Retail,HCM,2022-08-18
162,Amy Thompson,F,56,VIP,HCM,2023-12-02
163,Michael Nguyen,M,52,SME,DN,2023-04-04
164,Scott Walker,M,35,VIP,HN,2024-11-14
165,Michelle Morse,F,61,SME,HCM,2021-03-07
166,Jonathan Rojas,M,63,SME,HCM,2021-10-10
167,Nicholas Andrews,M,67,SME,HCM,2022-07-25
168,Justin Ford,M,46,Retail,DN,2022-01-26
169,Danielle Cross,F,65,SME,HCM,2024-09-17
170,Lynn Nichols,F,34,SME,HN,2022-06-20
171,Mark Stewart,M,21,Retail,Other,2022-07-06
172,Steven Nelson,M,36,SME,HCM,2025-03-17
173,Dustin Lewis,M,44,Retail,DN,2021-06-30
174,Alexander King,M,20,Retail,HCM,2023-06-16
175,Pamela White DDS,F,37,Retail,HN,2021-11-22
176,Keith Underwood,M,58,SME,DN,2022-02-03
177,John Stewart,M,45,VIP,DN,2023-02-12
178,Sheri Little,F,66,Retail,HN,2024-04-18
179,Karen Ibarra,F,23,SME,HN,2021-08-16
180,Colleen Roberts,F,62,Retail,HN,2022-06-16
181,Desiree Jones,F,38,VIP,HN,2024-05-18
182,Joy Cross,F,52,Retail,HN,2024-02-04
183,Patricia Levine,F,64,Retail,HCM,2023-03-18
184,Jordan Little,M,48,VIP,HCM,2025-09-19
185,Ashley Maldonado,F,20,SME,HN,2023-12-18
186,Derek Fritz,M,29,VIP,Other,2022-03-12
187,Cassandra Charles,F,55,Retail,Other,2021-08-02
188,Kyle Friedman,M,25,Retail,Other,2020-10-24
189,Danielle Lee,F,25,Retail,HCM,2025-05-29
190,Jamie Cline,F,45,Retail,Other,2022-09-11
191,Nicole Lewis,F,44,Retail,HN,2022-03-22
192,Raymond Rivera,M,50,Retail,HN,2021-05-12
193,Melissa Cole,F,65,Retail,HCM,2022-11-12
194,Joshua Reilly,M,23,SME,Other,2025-03-18
195,Eduardo Farmer,M,64,SME,HCM,2021-09-14
196,Ashley Acosta,F,47,SME,HN,2024-01-19
197,Kurt Kennedy,M,50,SME,HCM,2024-10-19
198,Sandra Moore,F,64,Retail,HN,2024-10-20
199,Linda Romero,F,42,VIP,DN,2024-11-16
200,John Ochoa,M,30,Retail,HN,2022-06-14
201,Michael Rodriguez,M,18,Retail,DN,2021-02-14
202,Diane Davis,F,45,SME,DN,2023-06-08
203,Charles Sanchez Jr.,M,55,SME,DN,2022-11-22
204,Angel Carlson,M,54,SME,DN,2021-11-20
205,William Miles,M,38,Retail,HCM,2022-02-24
206,Dakota Williams,M,68,Retail,Other,2021-08-07
207,Maria Levy,F,18,Retail,Other,2025-06-20
208,Mary Davies,F,45,Retail,DN,2024-11-21
209,Anna Love,F,51,Retail,DN,2024-03-12
210,Robert Perry,M,67,SME,HCM,2021-01-26
211,Briana Weaver,F,22,Retail,DN,2022-07-08
212,Johnny Allen,M,34,Retail,DN,2025-01-12
213,Jonathan Hall,M,32,SME,HCM,2022-12-14
214,Wendy Anderson,F,28,Retail,HCM,2020-11-15
215,Alison Cook,F,51,Retail,HCM,2022-03-26
216,Sarah Donaldson,F,47,Retail,DN,2025-07-28
217,Matthew Rodriguez,M,51,Retail,HCM,2021-07-23
218,Andrew Rogers,M,41,SME,HCM,2022-11-18
219,Daniel Neal,M,59,SME,HN,2024-02-06
220,Mark Warren,M,21,Retail,HN,2021-12-30
221,Angela Lopez,F,34,Retail,Other,2023-06-16
222,Joshua Cross,M,51,Retail,HCM,2024-08-13
223,Curtis Turner,M,60,Retail,DN,2023-11-14
224,James Bowen,M,64,Retail,DN,2024-05-05
225,Alexandra Carrillo,F,48,Retail,Other,2021-12-08
226,Jessica Monroe,F,21,Retail,Other,2021-11-04
227,Glenn Reed,M,20,SME,DN,2023-08-15
228,Zachary Davis,M,49,Retail,HCM,2022-03-23
229,Kirk Reynolds,M,36,SME,HCM,2024-08-02
230,Carolyn Hernandez,F,59,Retail,HN,2022-11-24
231,Jamie Nunez,F,18,Retail,Other,2025-08-19
232,Patricia Downs,F,63,Retail,HCM,2021-08-17
233,Samantha Wright,F,62,Retail,HCM,2023-07-19
234,Carlos Roman,M,64,Retail,DN,2021-01-08
235,Lisa Russell,F,47,Retail,Other,2023-02-07
236,David Bishop,M,34,Retail,HN,2024-05-06
237,Brenda Barron,F,66,Retail,Other,2025-06-27
238,William Short,M,64,Retail,HCM,2024-01-28
239,Samantha Wells,F,43,SME,HCM,2023-01-16
240,Candice Nguyen,F,19,SME,HCM,2021-12-04
241,Brandon Patel,M,68,SME,DN,2023-07-08
242,Christopher Bradley,M,63,SME,Other,2024-03-17
243,Robert Sellers,M,35,Retail,DN,2025-03-30
244,Kenneth Bates,M,32,Retail,DN,2022-10-11
245,Scott Cooper,M,45,Retail,HN,2022-06-02
246,James Williams,M,56,Retail,HCM,2021-05-27
247,Christina Ramos,F,42,SME,Other,2025-03-21
248,Scott Mitchell,M,21,Retail,HN,2022-08-05
249,Todd Long,M,35,Retail,DN,2025-04-24
250,Melanie Hodges,F,51,Retail,Other,2021-05-14
251,Jason Wilson,M,61,Retail,HN,2024-07-28
252,Bruce Hampton,M,23,SME,Other,2021-01-26
253,Jodi Hughes,F,62,Retail,HN,2025-10-02
254,Richard Allen,M,39,Retail,HCM,2025-01-31
255,Joshua Collins,M,65,Retail,DN,2024-09-14
256,Mary Daniels,F,47,Retail,DN,2023-02-02
257,Daniel Brown MD,M,20,Retail,Other,2023-06-03
258,Philip Moore,M,53,VIP,HCM,2022-05-08
259,Katie Mcdonald,F,37,VIP,Other,2020-11-06
260,Christopher Wallace,M,23,VIP,HCM,2025-07-29
261,Deanna Conner,F,55,Retail,HN,2025-09-16
262,Patricia Martinez,F,32,Retail,HCM,2021-01-01
263,Christopher Brown,M,62,SME,HCM,2023-10-26
264,Shelby Jenkins,F,21,Retail,HN,2021-07-05
265,Angela Rodriguez,F,66,Retail,HN,2021-11-11
266,Melissa Miller,F,31,Retail,HN,2025-05-27
267,Olivia Gillespie,F,28,SME,HN,2025-06-24
268,Derek Garcia,M,20,Retail,HCM,2025-02-17
269,Stephanie Macias,F,27,Retail,HCM,2021-02-16
270,Katherine Bailey,F,19,Retail,HCM,2021-07-25
271,Teresa Morris,F,18,Retail,HN,2023-08-15
272,Kurt Munoz,M,26,Retail,Other,2023-09-05
273,Jennifer Green,F,52,Retail,HN,2025-09-03
274,Rodney Dunn,M,61,Retail,HN,2024-03-18
275,Julia Hurst,F,28,SME,Other,2024-05-20
276,James Wilson,M,52,SME,Other,2022-05-04
277,Savannah Sellers,F,46,Retail,HN,2022-06-26
278,Robert Long,M,31,SME,DN,2025-05-31
279,William Weiss,M,54,SME,DN,2021-06-04
280,Elizabeth Fields,F,43,SME,HN,2021-02-13
281,Brian Ford,M,59,Retail,Other,2022-09-19
282,Tina Campbell,F,56,SME,Other,2025-04-02
283,Donald Lynch,M,55,Retail,DN,2022-08-19
284,Garrett Warner,M,50,Retail,HN,2024-05-26
285,Jeffrey Fowler,M,19,Retail,Other,2022-05-10
286,Lisa Stone,F,68,Retail,HCM,2024-03-15
287,Mary Schneider,F,20,Retail,Other,2024-08-17
288,Sheryl Bell DDS,F,69,SME,HN,2024-06-12
289,Robert Barr,M,69,SME,DN,2021-02-04
290,Emily Little,F,46,Retail,HN,2020-10-30
291,Austin Martin,M,54,SME,HN,2022-11-23
292,Carol Grant,F,21,Retail,HCM,2021-07-02
293,Patrick Meadows,M,27,Retail,HCM,2023-09-21
294,Eric Andrews,M,48,Retail,HN,2025-07-05
295,Susan Ruiz,F,69,Retail,HN,2023-03-21
296,Julia Davenport,F,22,Retail,Other,2023-09-08
297,Michelle Kirby,F,62,SME,DN,2022-10-16
298,Brandon Smith,M,68,Retail,HCM,2023-03-04
299,Allen Andrews,M,44,Retail,DN,2024-08-08
300,Michelle Owens,F,27,Retail,HCM,2021-05-30
301,Miss Pamela Mcgee MD,F,40,Retail,HCM,2023-05-26
302,Robert Hanson,M,29,SME,Other,2021-03-18
303,Joanne Miller,F,35,Retail,DN,2023-04-28
304,Evelyn Williams,F,60,SME,Other,2021-06-09
305,Jessica Stewart,F,21,SME,HN,2022-10-16
306,Lisa Brown,F,59,SME,DN,2025-07-31
307,Taylor Spears,F,26,Retail,HN,2020-10-07
308,Nicole Douglas,F,57,SME,DN,2022-03-16
309,James Meyers,M,18,Retail,HN,2024-04-13
310,Meredith Blackwell,F,63,Retail,DN,2021-03-22
311,Clarence Morris,M,18,SME,DN,2021-02-07
312,Colton Delgado,M,57,Retail,DN,2022-10-09
313,Jay Reynolds,M,26,Retail,HN,2023-07-24
314,Keith Armstrong,M,43,Retail,DN,2025-07-12
315,Jessica Odom,F,42,SME,HCM,2021-07-12
316,Samantha Cook,F,24,Retail,HCM,2024-09-16
317,Daniel Chang Jr.,M,34,Retail,DN,2023-09-30
318,Melissa Barber,F,68,Retail,HN,2022-03-15
319,Shawn Ford,M,69,Retail,Other,2023-03-13
320,Christopher Hanson,M,66,SME,DN,2025-06-10
321,Crystal Ward,F,43,Retail,HN,2025-08-19
322,Daniel Poole,M,24,VIP,HN,2024-09-08
323,John Lee,M,37,Retail,Other,2025-03-25
324,Jesse Wilson,M,57,Retail,HN,2024-01-02
325,Victoria Atkinson,F,30,Retail,DN,2021-06-29
326,James Allen,M,36,Retail,HCM,2025-02-02
327,Richard Black,M,66,Retail,HCM,2021-07-05
328,Lisa Rodriguez,F,57,Retail,HN,2023-03-30
329,Erika Fleming,F,68,Retail,HCM,2025-03-27
330,Katrina Sanchez,F,45,Retail,HCM,2022-02-06
331,Marie Marshall,F,68,Retail,HN,2025-03-10
332,Robin Pacheco,F,46,Retail,DN,2025-01-29
333,Linda Hernandez,F,27,Retail,HCM,2024-03-16
334,Jennifer Sutton,F,50,Retail,Other,2025-01-10
335,Sharon Griffin,F,67,SME,Other,2022-10-22
336,Adam Morgan,M,20,Retail,DN,2021-03-20
337,Johnny Burke,M,25,Retail,DN,2022-02-11
338,Jeremy Gutierrez,M,20,SME,Other,2023-05-20
339,Marc Davis,M,25,Retail,Other,2023-07-10
340,Alexandria Hernandez,F,31,Retail,HCM,2020-12-19
341,Roy Glenn,M,33,Retail,HN,2025-05-09
342,Sara Henry,F,38,Retail,DN,2020-11-07
343,Martha Mclean,F,35,Retail,DN,2021-12-28
344,Philip Harris DDS,M,40,SME,Other,2023-02-08
345,John Shelton,M,36,Retail,Other,2025-01-02
346,Kristin Christian,F,19,SME,HN,2023-02-20
347,Maria Boyle,F,28,Retail,HCM,2021-10-31
348,Chris Farley,M,40,Retail,Other,2024-01-13
349,Ryan Green,M,54,Retail,HCM,2025-04-22
350,Joe Jimenez,M,51,SME,DN,2023-06-15
351,Elizabeth Warren,F,39,SME,HN,2023-02-17
352,Mrs. Brittany Randolph,F,47,Retail,HCM,2023-02-07
353,Mark Camacho,M,49,Retail,DN,2021-05-19
354,Aaron Morrow,M,31,SME,HCM,2024-01-27
355,Frederick Torres,M,42,Retail,HCM,2024-05-12
356,Adriana Ellis,F,60,Retail,HCM,2021-06-16
357,Michelle Hicks,F,46,Retail,DN,2025-03-21
358,Jeffrey Mcmahon,M,28,SME,Other,2022-07-03
359,Robert Weaver,M,59,Retail,HCM,2023-06-01
360,Amanda Kaufman,F,34,Retail,HCM,2021-07-30
361,Katie Ramos,F,29,Retail,HCM,2024-03-29
362,Theresa Davis,F,38,Retail,DN,2021-06-23
363,Sharon Vincent,F,44,Retail,Other,2024-06-01
364,David Lam,M,24,Retail,HN,2023-01-20
365,Nicole White,F,38,Retail,HCM,2023-08-11
366,Lori May,F,19,Retail,DN,2025-08-26
367,Luis Wilkins,M,68,Retail,DN,2023-06-20
368,Cynthia York,F,46,Retail,Other,2020-10-19
369,Matthew Lang,M,53,SME,DN,2022-01-30
370,Lauren Johnson,F,52,SME,DN,2025-06-08
371,Shawn Wade,M,41,SME,HN,2021-07-30
372,Alexis Wood,F,50,Retail,DN,2024-06-02
373,Jennifer Hurley,F,36,Retail,DN,2024-10-11
374,Chase Chase,M,62,Retail,HN,2022-10-26
375,Katie Hunter,F,19,Retail,HN,2023-05-20
376,Erin Wilson,F,34,Retail,HN,2024-10-31
377,Steven Roberts,M,57,Retail,DN,2024-08-27
378,Blake Meyer,M,20,Retail,Other,2021-06-27
379,Erika Jones,F,68,Retail,HCM,2022-04-16
380,Doris Wilson,F,36,Retail,DN,2023-09-05
381,Richard Mitchell,M,66,Retail,HCM,2022-07-28
382,Michael Gill,M,66,Retail,HCM,2021-10-02
383,Tiffany Martin,F,41,SME,DN,2025-01-29
384,Brian White,M,34,Retail,HCM,2024-10-29
385,April Garza,F,23,VIP,HCM,2021-01-04
386,Shawn Gray,M,29,Retail,HCM,2025-09-23
387,Adam Kemp,M,62,Retail,Other,2022-11-20
388,Lisa Sanchez,F,33,SME,DN,2023-06-06
389,Alexandra Stout,F,38,Retail,DN,2021-08-23
390,Susan Boyd DDS,F,32,Retail,HN,2023-11-16
391,Angel Bates,M,65,Retail,DN,2023-01-03
392,Nathan Horton,M,46,Retail,HCM,2021-10-14
393,Amanda Christensen,F,56,Retail,DN,2025-06-24
394,Olivia Robertson,F,56,Retail,DN,2022-02-03
395,Dr. Nichole Peters,F,52,Retail,HN,2024-02-28
396,Anna Smith,F,20,Retail,Other,2021-05-25
397,Angela Freeman,F,40,Retail,DN,2021-02-28
398,Lisa Phillips,F,66,Retail,HCM,2025-01-29
399,Alexander Caldwell,M,30,Retail,Other,2021-05-09
400,Mr. Ryan Stewart,M,59,SME,HCM,2025-07-03
401,Timothy Werner,M,52,SME,HCM,2025-09-08
402,David Martinez,M,30,Retail,Other,2022-10-05
403,Brittany Kelley,F,52,Retail,HCM,2023-04-07
404,Monique Moreno PhD,F,46,SME,HN,2025-08-08
405,Debra Holmes,F,61,Retail,Other,2022-06-05
406,Christina Perry,F,64,Retail,HCM,2022-10-02
407,James Anderson,M,56,Retail,HN,2022-04-10
408,Janet Glenn,F,66,Retail,HCM,2021-01-23
409,Jennifer Mendoza,F,47,SME,HCM,2021-04-18
410,Debra Williams,F,54,Retail,HN,2023-10-29
411,Brian Martin,M,63,Retail,DN,2022-03-18
412,Charles Hayden,M,41,Retail,DN,2022-11-06
413,Samantha Gordon,F,54,SME,DN,2023-03-03
414,Sarah Summers,F,23,VIP,DN,2022-03-29
415,Michaela Taylor,F,41,Retail,HN,2021-04-09
416,Cheyenne Giles,F,42,SME,Other,2022-01-10
417,Robert Bowman,M,25,SME,DN,2021-07-03
418,Lauren Mcbride,F,68,Retail,HCM,2022-08-13
419,William Hodges,M,51,Retail,HN,2024-11-27
420,Robert Burnett,M,20,SME,HN,2023-08-17
421,Keith James,M,64,Retail,HN,2023-10-18
422,Patrick Lam,M,37,VIP,HN,2021-07-16
423,Samuel Ho,M,59,Retail,HCM,2023-02-02
424,Stacy Jones,F,34,Retail,Other,2024-03-13
425,James Harper,M,55,Retail,HN,2021-04-15
426,Alexander Patterson,M,42,Retail,HCM,2024-08-08
427,Joshua Coleman,M,51,Retail,Other,2021-02-17
428,Mark Dawson,M,45,Retail,DN,2023-01-05
429,Andrew Gray,M,51,SME,HN,2022-11-05
430,Joseph Arnold,M,57,SME,DN,2021-06-06
431,Stanley Combs,M,51,Retail,DN,2023-01-14
432,April Morrow,F,25,Retail,Other,2025-09-13
433,Betty Benitez,F,35,Retail,Other,2022-09-13
434,Hailey Mcguire,F,30,SME,HN,2023-02-02
435,Mark Coleman,M,67,Retail,Other,2025-02-26
436,April Mosley,F,46,SME,DN,2022-01-12
437,Carrie Barnett,F,57,Retail,DN,2024-10-07
438,Hector May,M,62,SME,Other,2022-12-18
439,Jared Warren,M,33,Retail,HN,2025-06-07
440,Mark Roth,M,65,SME,DN,2024-04-27
441,Paul Davis,M,42,SME,Other,2025-09-29
442,Shannon Mckee,M,44,SME,DN,2021-01-18
443,Matthew Johnson,M,60,VIP,HN,2022-05-26
444,Jeffrey Barker,M,48,SME,HCM,2023-07-25
445,Jennifer Peters,F,60,Retail,DN,2023-01-22
446,Kyle Cooke,M,35,SME,HCM,2025-04-29
447,Stanley Daniels,M,46,Retail,HCM,2022-05-15
448,Bethany Turner,F,30,Retail,HN,2023-08-07
449,Jared Franklin,M,34,Retail,HCM,2021-05-16
450,Mary Young,F,41,SME,Other,2021-05-10
451,Elizabeth Gordon,F,36,SME,HCM,2022-02-02
452,Paul Smith,M,49,SME,Other,2024-09-20
453,Katrina Knapp,F,32,SME,HN,2021-12-30
454,Holly Ramirez,F,21,Retail,Other,2025-08-13
455,Joanna Russell,F,21,Retail,HN,2022-09-10
456,Carol Martinez,F,39,SME,HCM,2022-06-22
457,Terry Davis,M,39,Retail,DN,2020-11-01
458,Dr. Amanda Ramirez,F,67,VIP,DN,2020-12-19
459,Ryan Smith,M,29,SME,DN,2024-09-18
460,Kristen Sanchez,F,29,Retail,DN,2024-04-11
461,Mr. Luis Thompson,M,23,Retail,Other,2021-10-29
462,Michael Flynn,M,28,Retail,HCM,2025-06-02
463,Chelsey Castillo,F,63,Retail,Other,2025-06-03
464,Shawn Oneal,M,52,Retail,DN,2024-08-19
465,Randall Padilla,M,46,Retail,Other,2024-03-28
466,Lisa Wang,F,19,SME,Other,2023-07-20
467,Jasmine Fowler,F,28,Retail,HN,2022-11-10
468,Renee Waters,F,61,Retail,HN,2022-10-12
469,Tommy Davis,M,64,Retail,DN,2023-10-26
470,Mary Owen,F,23,SME,HN,2023-04-28
471,Keith Garza,M,18,Retail,HCM,2024-01-11
472,Kenneth Hensley,M,51,Retail,Other,2023-01-18
473,David Li,M,42,SME,HCM,2024-12-19
474,Barry Jackson,M,61,Retail,Other,2022-04-30
475,Kimberly Moore,F,63,Retail,HN,2021-03-05
476,Gregory Kelly,M,25,SME,HCM,2022-12-05
477,Nicole Cruz,F,69,Retail,HN,2022-02-08
478,Angelica Carpenter,F,61,Retail,Other,2021-08-29
479,Donna Fernandez,F,20,Retail,DN,2024-04-06
480,Peter Dudley,M,47,Retail,HN,2022-04-11
481,Paige Woods,F,61,Retail,HN,2025-07-13
482,Amber Reed,F,65,Retail,DN,2024-08-23
483,Debbie Hernandez,F,19,SME,DN,2021-11-17
484,Gail Weaver,F,30,Retail,HN,2022-04-30
485,Tanya Wiley,F,47,Retail,HCM,2024-12-10
486,Tyler Turner,M,48,SME,DN,2022-09-21
487,Matthew Snow,M,42,SME,HCM,2022-10-15
488,Zachary Ortiz,M,25,SME,DN,2022-02-28
489,Maria Hall,F,58,Retail,HN,2023-05-28
490,Nicole Gilbert,F,49,Retail,HCM,2023-04-07
491,Brittany Sandoval,F,45,SME,HCM,2023-08-08
